title,budget,dom_gross,intl_gross,disc_gross,release_date
Table 19 (2017),"$5,000,000","$3,614,896","$4,620,399","$229,276","March 3rd, 2017 (Limited) by "
Moon (2009),"$5,000,000","$5,010,163","$10,676,073","$5,726,803","June 12th, 2009 (Limited) by "
Fifty Shades of Black (2016),"$5,000,000","$11,686,940","$20,765,353","$2,204,546","January 29th, 2016 (Wide) by "
Sunshine Cleaning (2009),"$5,000,000","$12,062,558","$17,329,337","$6,671,911","March 13th, 2009 (Wide) by "
Spring Breakers (2013),"$5,000,000","$14,124,286","$31,149,251","$4,708,732","March 15th, 2013 (Limited) by "
Apollo 18 (2011),"$5,000,000","$17,686,929","$26,517,819","$5,928,160","September 2nd, 2011 (Wide) by "
Still Alice (2015),"$5,000,000","$18,656,400","$41,699,612","$3,489,630","January 16th, 2015 (Limited) by "
Race (2016),"$5,000,000","$19,115,191","$22,178,125","$3,166,049","February 19th, 2016 (Wide) by "
Our Idiot Brother (2011),"$5,000,000","$24,814,830","$25,861,249","$9,008,833","August 26th, 2011 (Wide) by "
The Lazarus Effect (2015),"$5,000,000","$25,801,570","$35,341,814","$3,018,759","February 27th, 2015 (Wide) by "
Dallas Buyers Club (2013),"$5,000,000","$27,298,285","$60,611,845","$9,756,230","November 1st, 2013 (Wide) by "
Oculus (2014),"$5,000,000","$27,695,246","$44,115,496","$4,304,466","April 11th, 2014 (Wide) by "
The Big Sick (2017),"$5,000,000","$42,872,467","$53,005,448","$907,922","June 23rd, 2017 (Limited) by "
Insidious Chapter 2 (2013),"$5,000,000","$83,586,447","$161,921,515","$9,256,624","September 13th, 2013 (Wide) by "
Don Jon (2013),"$5,500,000","$24,477,704","$41,268,579","$7,010,852","September 27th, 2013 (Wide) by "
Song One (2015),"$6,000,000","$32,251","$437,089","$143,246","January 23rd, 2015 (Limited) by "
Wish I Was Here (2014),"$6,000,000","$3,591,299","$6,591,365","$390,948","July 18th, 2014 (Limited) by "
Miss March (2009),"$6,000,000","$4,543,320","$4,713,059","$8,166,354","March 13th, 2009 (Wide) by "
City Island (2010),"$6,000,000","$6,671,283","$8,173,486","$2,638,472","March 19th, 2010 (Limited) by "
Bernie (2012),"$6,000,000","$9,204,489","$10,106,975","$2,846,644","April 27th, 2012 (Limited) by "
The Wrestler (2008),"$6,000,000","$26,238,243","$46,634,275","$13,689,916","December 17th, 2008 (Limited) by "
The East (2013),"$6,500,000","$2,274,649","$3,027,956","$313,815","May 31st, 2013 (Limited) by "
The Christmas Candle (2013),"$7,000,000","$1,632,000","$1,933,829","$1,485,356","November 15th, 2013 (Limited) by "
A Single Man (2009),"$7,000,000","$9,176,000","$28,142,379","$5,726,949","December 11th, 2009 (Limited) by "
Get Low (2010),"$7,000,000","$9,176,933","$10,828,305","$5,706,632","July 30th, 2010 (Limited) by "
